TFBS-name fold-change pvalue adj-pvalue number-of-hits
TFAP2C 1.58591762047105 6.78754352683725e-13 1.98707796003062e-12 545
ZIC4 1.44299000408613 8.19141159447802e-13 2.38653626262196e-12 475
NFIA 1.43843896418464 1.04365862211455e-12 3.02611064593978e-12 454
SHOX 1.47299010598008 1.97729857461219e-12 5.70591874388088e-12 521
DMRT3 1.40877594190557 2.82426552288829e-12 8.11139766289244e-12 475
LHX9 1.48088253788283 3.88643843677518e-12 1.11093476070083e-11 501
LMX1A 1.57650456208742 3.98349828522535e-12 1.13333331495144e-11 542
FOXF2 1.40661950821347 4.95355423249572e-12 1.4027354508843e-11 480
FOXG1 1.40041669616007 5.12916649562696e-12 1.44570925411625e-11 471
POU6F2 1.4230073644896 5.25896387537388e-12 1.47543153170212e-11 500
Sox1 1.49087752097828 6.31886379820208e-12 1.76462279341496e-11 489
PBX1 1.42365963532657 1.41744846735713e-11 3.94024665696523e-11 473
DLX6 1.44719752191327 1.47989914668899e-11 4.09506339220788e-11 474
MSC 1.48865747468354 1.64225002850629e-11 4.51870955148351e-11 507
EGR4 1.42846202430086 1.64791222917138e-11 4.51870955148351e-11 471
Alx4 1.52549139027211 2.28240357725274e-11 6.2303449000683e-11 492
ZBTB18 1.39616704295896 2.88064434654929e-11 7.82811871752855e-11 465
CDX1 1.40246793326283 3.04277770087834e-11 8.23180038719766e-11 473
HNF1B 1.54043629053655 3.24035756458235e-11 8.72736304060847e-11 509
Lhx3 1.54890460330369 3.35086897481482e-11 8.98507344574239e-11 524
Gata1 1.37908878143506 3.61158042476297e-11 9.64148782998395e-11 478
HESX1 1.43628560401237 3.81821103463927e-11 1.01484030131202e-10 560
EN2 1.42235663746438 4.05902528404401e-11 1.07413507516623e-10 498
HNF1A 1.54428790951672 4.90388773841835e-11 1.29206781281805e-10 512
Alx1 1.52688696549848 6.17851317165826e-11 1.62085670217528e-10 485
